poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
93,"0,1,2,3","0.0179,0.0181,0.0177,0.9463","1,3,0,2","""五千, 澄淸""，""姑蘇, 山, 歌舞, 秋水, 翠""，""回首, 情, 春, 曲, 黃昏""，""縹渺, 闔閭城""","0.02,0.02,0.02,0.95"
94,"0,1,2,3","0.7351,0.0166,0.2312,0.0171","1,2,3,0","""壯士, 江東""，""伯業, 儒生, 彭城, 英雄, 落落""，""人, 八千, 山""，""帳, 悲歌, 曲, 歸, 長空""","0.74,0.02,0.23,0.02"
95,"0,1,2,3","0.9505,0.0141,0.0212,0.0142","1,2,3,0","""子弟, 秋, 草木""，""伯業, 烈性, 英雄, 鬢眉, 鼓角""，""下風, 美人, 魂""，""冷, 夕陽, 巾幗, 帳, 旌旗, 歌聲, 知名""","0.95,0.01,0.02,0.01"
96,"0,1,2,3","0.5683,0.0155,0.4005,0.0158","2,1,3,0","""帝王, 滿目, 無心, 白骨, 紅顏, 舊跡""，""戰場, 軍""，""新, 美人, 零落, 香""，""恨, 曲, 歸去, 錦囊""","0.57,0.02,0.40,0.02"
97,"0,1,2,3","0.7020,0.0198,0.0204,0.2578","0,3,2","""夢, 幾多, 書, 花, 風""，""新, 樹, 竹, 香, 鸞""，""春色, 黃鶯""","0.70,0.02,0.26"
98,"0,1,2,3","0.0148,0.4806,0.0147,0.4899","3,1,2,0","""天, 崖, 新, 林, 翠, 西山, 雨""，""古寺, 東湖, 欄桿, 秋, 草木""，""憶舊, 曲徑, 蒼松""，""南浦, 獨""","0.01,0.48,0.01,0.49"
99,"0,1,2,3","0.6989,0.0153,0.0153,0.2705","0,3,1,2","""君, 夜, 思, 獨, 絮, 腸斷, 落花, 蕭蕭""，""燭, 登山, 紛紜, 臨風, 雨""，""涉水""，""不見""","0.70,0.02,0.02,0.27"
100,"0,1,2,3","0.4681,0.0145,0.5023,0.0151","3,0,2,1","""人, 春光, 香""，""寂寂, 寒, 庭院, 石, 簾, 落花, 金""，""妝點, 曲徑, 東風, 竹影, 鳥聲""，""鳳尾""","0.47,0.01,0.50,0.02"
101,"0,1,2,3","0.9006,0.0325,0.0331,0.0337","0,3,1","""夕陽, 春, 琴, 芳草""，""景物, 無際""，""溪水""","0.90,0.03,0.03"
102,"0,1,2,3","0.5974,0.3609,0.0208,0.0210","0,3,1,2","""參差, 夕陽, 春, 書, 歸""，""人, 天""，""乘興, 明月, 柳色, 燕羽""，""迷離""","0.60,0.36,0.02,0.02"
